site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11732227791	47631997839	72.4	5	1443855839	new	20191002	
ST	11732227791	47839640335	72.4	4	1443855839	used	20191002	
ST	11745082447	47704348303	94.85	7	3844312404	new	20191002	
ST	11745082447	48439273807	94.85	7	3844312404	used	20191002	
ST	11729772495	47618873679	145.2	4	3838346394	new	20191002	
ST	11729772495	47829313871	145.2	5	3838346394	used	20191002	
ST	11739861455	47673497295	93.55	6	3659307157	new	20191002	
ST	11739861455	48063490575	93.55	5	3659307157	used	20191002	
ST	11728021327	47604540367	92.22	7	3659141089	new	20191002	
ST	11728021327	47819807247	92.21	6	3659141089	used	20191002	
ST	11825569999	48042568079	223.98	3	3319350439	new	20191002	
ST	11825569999	48443568399	197.52	3	3319350439	used	20191002	
ST	11721549711	47546434703	90.13	5	3659577979	new	20191002	
ST	11721549711	47808200335	90.11	4	3659577979	used	20191002	
ST	11744399119	47698237967	101.1	4	3848719797	new	20191002	
ST	11744399119	48433979471	63.5	4	3848719797	used	20191002	
ST	11745714895	47708064975	83.12	3	1138970085	new	20191002	
ST	11745714895	48441234255	83.12	3	1138970085	used	20191002	
ST	11720405071	47530824975	93.33	3	3639325362	new	20191002	
ST	11720405071	47806455439	93.33	5	3639325362	used	20191002	
ST	11730060239	47620049679	56.72	7	3659629898	new	20191002	
ST	11730060239	47829628431	56.72	5	3659629898	used	20191002	
ST	11719333711	47523656079	47.97	7	1442256885	new	20191002	
ST	11719333711	47804162767	33.62	3	1442256885	used	20191002	
ST	11719333711	47716176847	157.62	4	1442256877	new	20191002	
ST	11719333711	47804526351	157.62	3	1442256877	used	20191002	
ST	11728080015	47605061071	93.36	7	3848498200	new	20191002	
ST	11728080015	47820117455	93.36	4	3848498200	used	20191002	
ST	11721532111	47546368335	74.45	5	3659433292	new	20191002	
ST	11721532111	47808001807	74.45	4	3659433292	used	20191002	
ST	11744394063	47698207503	151.98	4	3843367426	new	20191002	
ST	11744394063	48433982223	151.98	4	3843367426	used	20191002	
ST	11716317007	47482929999	32.96	4	1611172497	new	20191002	
ST	11807547471	47985437583	186.34	3	3319374842	new	20191002	
ST	11807547471	48053909903	186.34	3	3319374842	used	20191002	
ST	11825251727	48041772303	165.2	5	1138195944	new	20191002	
ST	11825251727	48439383375	153.07	7	1138195944	used	20191002	
ST	11825457999	48042267151	39.39	3	1119374189	new	20191002	
ST	11825457999	48439926415	29.89	3	1119374189	used	20191002	
ST	11739930127	47673909135	362.21	4	9048179947	new	20191002	
